ccode,Country,year,leadername,business,econ_finance,rgdpe,lnrgdpe,growth,cpg_sw2014,war,law,militarycareer,nato,business_add_close,econ_finance_close,business_nostate,business_exclude_lowlevel,rgdpo,expenditures_total,expenditures_total_million,expenditures_2014,nondefspend,nondefspend_ch,defspend_usa,defspend_ch_usa,diff_us,polconiii,polityfrompolity,polcon_abvmean,polcon_blwmean,cpg_mf,mids_per_yr,business_econ_finance,econ_finance_nobiz,def.exp,def.delta
385,Norway,1952,Torp,0,0,32183.49219,10.37920856,3.594577312,4,0,0,0,1,0,0,0,0,32840.76563,NA,NA,NA,NA,NA,424311,40.86602402,-7.440227509,0.420006096,10,0,1,4,0,0,0,1561.217933,33.40295198
385,Norway,1953,Torp,0,0,33280.04688,10.41271305,3.40719223,4,0,0,0,1,0,0,0,0,34491.78125,NA,NA,NA,NA,NA,436863,2.958207607,22.87339211,0.420006096,10,0,1,4,0,0,0,1964.753367,25.84747618
385,Norway,1954,Torp,0,0,34344.49219,10.4441967,3.198444843,4,0,0,0,1,0,0,0,0,35393.11328,NA,NA,NA,NA,NA,376933,-13.71825981,16.11396408,0.453892946,10,1,0,4,0,0,0,2011.550397,2.381827234
385,Norway,1955,Gerhardsen,0,0,35923.76172,10.48915386,4.59831953,4,0,0,0,1,0,0,0,0,36585.97266,NA,NA,NA,NA,NA,356801,-5.341002464,-11.88368511,0.453892946,10,1,0,4,0,0,0,1665.018737,-17.22709312
385,Norway,1956,Gerhardsen,0,0,37864.23047,10.54176235,5.40163517,4,0,0,0,1,0,0,0,0,37973.57422,NA,NA,NA,NA,NA,361469,1.30829227,-3.598740578,0.453892946,10,1,0,4,1,0,0,1626.667353,-2.303360533
385,Norway,1957,Gerhardsen,0,0,39333.5625,10.57983303,3.880524635,4,0,0,0,1,0,0,0,0,39763.49609,NA,NA,NA,NA,NA,371783,2.853356838,2.732677937,0.453892946,10,1,0,4,0,0,0,1717.597662,5.589975646
385,Norway,1958,Gerhardsen,0,0,38667.06641,10.56274319,-1.694470644,4,0,0,0,1,0,0,0,0,39497.53125,NA,NA,NA,NA,NA,369578,-0.593087912,-6.350700378,0.446853071,10,1,0,4,0,0,0,1598.625136,-6.926681839
385,Norway,1959,Gerhardsen,0,0,39806.45313,10.59178448,2.946662903,4,0,0,0,1,0,0,0,0,40487.68359,NA,NA,NA,NA,NA,372166,0.700258136,5.13730526,0.446853071,10,1,0,4,0,0,0,1691.559493,5.813392657
385,Norway,1960,Gerhardsen,0,0,41186.10156,10.6258564,3.465890884,4,0,0,0,1,0,0,0,0,41403.10938,13502466740,13502,14658.70703,12673.70703,NA,363006,-2.461267233,-2.334895849,0.443882167,10,1,0,4,1,0,0,1610.358462,-4.800365056
385,Norway,1961,Gerhardsen,0,0,43874.44531,10.68908691,6.527304649,4,0,0,0,1,0,0,0,0,43775.79688,14375517476,14375,15606.49609,13447.49609,6.105467319,378361,4.229957581,4.535785675,0.443882167,10,1,0,4,0,0,0,1751.595351,8.770524861
385,Norway,1962,Gerhardsen,0,0,45128.49609,10.71726894,2.858269215,4,0,0,0,1,0,0,0,0,44596.47656,15075036032,15075,16366.46484,13981.46484,3.970767021,409976,8.355776787,2.112031937,0.456908315,10,1,0,4,0,0,0,1934.914268,10.46582575
